lot_id,account_id,ticker,acquisition_date,quantity,cost_per_share,cost_basis_total,is_closed
LOT0001,ACC010,TSLA,2019-01-22,47,359.15,16880.05,True
LOT0002,ACC009,META,2020-08-10,67,661.53,44322.51,False
LOT0003,ACC032,JPM,2020-09-05,69,56.24,3880.56,True
LOT0004,ACC019,AMZN,2023-06-20,99,372.83,36910.17,True
LOT0005,ACC027,NVDA,2021-03-19,71,330.23,23446.33,True
LOT0006,ACC042,NVDA,2023-08-24,21,586.2,12310.2,False
LOT0007,ACC028,AMZN,2021-11-24,29,247.24,7169.96,False
LOT0008,ACC035,TSLA,2021-04-25,37,536.34,19844.58,True
LOT0009,ACC019,MSFT,2022-07-28,9,186.81,1681.29,False
LOT0010,ACC045,JPM,2020-01-20,80,389.58,31166.4,False
LOT0011,ACC035,AAPL,2020-01-16,3,164.11,492.33,True
LOT0012,ACC046,JPM,2023-01-29,37,251.9,9320.3,True
LOT0013,ACC001,JPM,2020-03-20,30,117.65,3529.5,False
LOT0014,ACC032,META,2021-08-07,54,283.68,15318.72,True
LOT0015,ACC049,GOOGL,2019-04-25,43,110.17,4737.31,False
LOT0016,ACC035,JPM,2020-01-07,100,344.32,34432.0,True
LOT0017,ACC001,MSFT,2023-04-23,33,662.94,21877.02,True
LOT0018,ACC029,AMZN,2023-02-19,50,628.42,31421.0,True
LOT0019,ACC050,MSFT,2021-12-03,26,395.63,10286.38,True
LOT0020,ACC020,META,2019-11-21,61,341.84,20852.24,True
LOT0021,ACC034,MSFT,2020-06-02,96,753.07,72294.72,False
LOT0022,ACC024,AAPL,2023-11-04,82,274.11,22477.02,True
LOT0023,ACC028,META,2019-01-31,15,226.97,3404.55,True
LOT0024,ACC026,AMZN,2019-01-19,36,488.52,17586.72,True
LOT0025,ACC031,GOOGL,2021-01-30,75,637.61,47820.75,True
LOT0026,ACC006,META,2023-04-05,32,168.27,5384.64,True
LOT0027,ACC010,MSFT,2019-09-15,8,316.64,2533.12,False
LOT0028,ACC036,META,2023-07-08,30,287.55,8626.5,False
LOT0029,ACC045,NVDA,2021-01-03,94,194.72,18303.68,True
LOT0030,ACC032,JPM,2022-02-18,33,724.0,23892.0,False
LOT0031,ACC013,GOOGL,2022-01-18,70,572.78,40094.6,False
LOT0032,ACC018,GOOGL,2019-05-22,42,599.3,25170.6,True
