report_id,account_id,ticker,sale_date,proceeds,cost_basis,gain_loss,holding_period,reported_to_irs,status
RPT0001,ACC042,JPM,2023-03-06,7351.09,16342.65,-8991.56,SHORT,False,VALID
RPT0002,ACC018,AAPL,2022-05-10,17959.23,13126.23,4833.0,LONG,False,VALID
RPT0003,ACC031,TSLA,2024-07-14,22894.33,24269.02,-1374.69,LONG,True,DISCREPANCY
RPT0004,ACC026,GOOGL,2023-08-14,9823.5,42477.4,-32653.9,SHORT,True,VALID
RPT0005,ACC010,AMZN,2024-12-02,8655.93,5732.37,2923.56,SHORT,False,VALID
RPT0006,ACC031,META,2024-05-10,21118.56,,,LONG,True,MISSING_BASIS
RPT0007,ACC015,META,2024-04-23,14930.08,3396.4,11533.68,LONG,False,DISCREPANCY
RPT0008,ACC036,JPM,2024-07-26,24564.35,32094.71,-7530.36,LONG,True,VALID
RPT0009,ACC015,JPM,2024-02-01,44964.96,14989.16,29975.8,LONG,True,DISCREPANCY
RPT0010,ACC040,GOOGL,2023-08-08,7842.75,,,SHORT,True,MISSING_BASIS
RPT0011,ACC010,GOOGL,2023-05-03,42046.92,33380.1,8666.82,SHORT,True,VALID
RPT0012,ACC024,GOOGL,2023-02-25,49691.77,27747.4,21944.37,SHORT,False,VALID
RPT0013,ACC011,TSLA,2022-09-06,48912.12,7442.14,41469.98,SHORT,False,VALID
RPT0014,ACC021,GOOGL,2022-01-09,46587.91,,,LONG,False,MISSING_BASIS
RPT0015,ACC037,GOOGL,2024-06-24,23958.58,,,LONG,True,MISSING_BASIS
RPT0016,ACC036,MSFT,2023-09-23,36716.21,43248.3,-6532.09,SHORT,False,VALID
RPT0017,ACC021,AAPL,2023-02-04,31067.34,10889.36,20177.98,SHORT,False,VALID
RPT0018,ACC044,MSFT,2024-11-14,10187.93,4378.86,5809.07,LONG,True,DISCREPANCY
RPT0019,ACC004,META,2024-03-25,24778.04,29110.98,-4332.94,SHORT,False,VALID
RPT0020,ACC023,TSLA,2024-07-01,18796.68,18146.76,649.92,SHORT,True,VALID
RPT0021,ACC029,TSLA,2022-12-02,36528.74,,,LONG,False,MISSING_BASIS
RPT0022,ACC014,TSLA,2024-08-30,7408.6,28349.77,-20941.17,LONG,True,VALID
RPT0023,ACC001,NVDA,2023-07-14,46691.07,28516.32,18174.75,LONG,True,VALID
