transaction_id,account_id,ticker,transaction_type,transaction_date,quantity,price_per_share,total_amount,cost_basis_method,status
TXN0001,ACC007,MSFT,SELL,2020-03-06,82,133.5,10947.0,FIFO,PROCESSED
TXN0002,ACC042,NVDA,BUY,2022-07-08,12,,,SPEC_ID,PROCESSED
TXN0003,ACC022,TSLA,BUY,2021-03-16,36,657.07,23654.52,FIFO,PROCESSED
TXN0004,ACC003,JPM,BUY,2022-02-14,14,119.56,1673.84,FIFO,PROCESSED
TXN0005,ACC013,MSFT,BUY,2023-09-16,71,269.88,19161.48,FIFO,PROCESSED
TXN0006,ACC018,JPM,SELL,2020-11-29,99,267.04,26436.96,FIFO,PROCESSED
TXN0007,ACC039,GOOGL,BUY,2020-11-30,46,207.13,9527.98,LIFO,PROCESSED
TXN0008,ACC021,AAPL,BUY,2024-08-10,49,252.46,12370.54,FIFO,ERROR
TXN0009,ACC046,META,BUY,2023-09-04,41,350.87,14385.67,LIFO,PROCESSED
TXN0010,ACC048,TSLA,SELL,2023-04-10,51,713.51,36389.01,LIFO,PROCESSED
TXN0011,ACC004,MSFT,BUY,2023-07-09,47,214.49,10081.03,FIFO,ERROR
TXN0012,ACC034,TSLA,BUY,2023-10-25,88,366.62,32262.56,FIFO,PROCESSED
TXN0013,ACC019,NVDA,BUY,2022-07-18,88,713.59,62795.92,FIFO,PROCESSED
TXN0014,ACC007,TSLA,BUY,2020-11-09,93,706.89,65740.77,FIFO,PROCESSED
TXN0015,ACC039,META,SELL,2020-02-09,98,171.16,16773.68,FIFO,ERROR
TXN0016,ACC037,MSFT,BUY,2024-02-07,47,709.04,33324.88,LIFO,PENDING
TXN0017,ACC036,GOOGL,SELL,2022-12-16,9,783.49,7051.41,SPEC_ID,PROCESSED
TXN0018,ACC046,TSLA,SELL,2023-10-07,55,773.27,42529.85,FIFO,ERROR
TXN0019,ACC002,AMZN,BUY,2020-01-15,57,724.71,41308.47,FIFO,PROCESSED
TXN0020,ACC005,AMZN,SELL,2023-10-02,91,523.33,47623.03,LIFO,PROCESSED
TXN0021,ACC016,JPM,SELL,2021-01-24,28,454.43,12724.04,FIFO,PROCESSED
TXN0022,ACC004,MSFT,BUY,2022-04-04,13,544.24,7075.12,FIFO,PROCESSED
TXN0023,ACC018,JPM,BUY,2024-11-25,14,236.49,3310.86,FIFO,PROCESSED
TXN0024,ACC035,AAPL,BUY,2024-03-23,57,656.02,37393.14,FIFO,PENDING
TXN0025,ACC011,NVDA,BUY,2022-03-10,22,354.81,7805.82,FIFO,PROCESSED
TXN0026,ACC043,JPM,BUY,2021-01-23,59,263.94,15572.46,FIFO,PROCESSED
TXN0027,ACC004,AAPL,SELL,2022-10-26,28,776.53,21742.84,SPEC_ID,PROCESSED
TXN0028,ACC005,AMZN,SELL,2020-09-02,21,92.66,1945.86,SPEC_ID,PROCESSED
TXN0029,ACC037,META,SELL,2021-02-22,32,484.19,15494.08,FIFO,PROCESSED
TXN0030,ACC049,MSFT,BUY,2022-07-27,31,249.21,7725.51,SPEC_ID,PROCESSED
TXN0031,ACC023,MSFT,BUY,2022-01-26,73,797.07,58186.11,FIFO,PROCESSED
TXN0032,ACC042,AAPL,SELL,2023-09-20,21,378.64,7951.44,FIFO,PROCESSED
TXN0033,ACC019,AMZN,SELL,2021-02-20,18,248.35,4470.3,FIFO,PENDING
TXN0034,ACC028,TSLA,BUY,2020-01-08,65,416.4,27066.0,FIFO,PENDING
TXN0035,ACC046,NVDA,BUY,2020-08-17,99,148.11,14662.89,FIFO,ERROR
TXN0036,ACC010,NVDA,BUY,2020-03-26,89,727.95,64787.55,FIFO,PROCESSED
TXN0037,ACC014,AMZN,BUY,2021-12-25,47,724.24,34039.28,SPEC_ID,PROCESSED
TXN0038,ACC011,GOOGL,SELL,2020-02-20,53,780.38,41360.14,FIFO,PROCESSED
TXN0039,ACC048,AMZN,SELL,2020-11-22,95,743.37,70620.15,FIFO,PROCESSED
TXN0040,ACC030,META,SELL,2024-08-07,49,704.13,34502.37,FIFO,PENDING
TXN0041,ACC050,TSLA,SELL,2023-08-06,29,67.75,1964.75,SPEC_ID,PROCESSED
TXN0042,ACC017,GOOGL,SELL,2020-03-19,0,559.64,0.0,FIFO,PENDING
TXN0043,ACC033,MSFT,SELL,2023-03-26,77,375.92,28945.84,FIFO,PROCESSED
TXN0044,ACC044,AMZN,SELL,2022-06-02,33,83.29,2748.57,FIFO,PROCESSED
TXN0045,ACC020,TSLA,SELL,2021-10-30,86,740.58,63689.88,LIFO,PROCESSED
TXN0046,ACC044,GOOGL,SELL,2022-04-11,90,271.74,24456.6,SPEC_ID,PROCESSED
TXN0047,ACC021,JPM,SELL,2022-06-24,1,277.91,277.91,FIFO,PROCESSED
TXN0048,ACC006,TSLA,SELL,2020-07-10,66,404.89,26722.74,FIFO,PENDING
TXN0049,ACC031,MSFT,SELL,2022-04-28,87,282.81,24604.47,SPEC_ID,PENDING
TXN0050,ACC045,AAPL,BUY,2024-05-13,25,588.76,14719.0,LIFO,PROCESSED
